,Date / Time,Incident Number,Location,Nature,Incident ORI
294,12/31/2023 21:55,2023-00088058,ALAMEDA ST / 24TH AVE NE,Traffic Stop,OK0140200
295,12/31/2023 22:03,2023-00088060,E CEDAR LANE RD / CLASSEN BLVD,Reckless Driving,OK0140200
296,12/31/2023 22:05,2023-00019451,401 12TH AVE SE,Medical Call Pd Requested,14005
297,12/31/2023 22:05,2023-00026122,401 12TH AVE SE,Medical Call Pd Requested,EMSSTAT
298,12/31/2023 22:06,2023-00088059,320 12TH AVE SE,Traffic Stop,OK0140200
299,12/31/2023 22:14,2023-00026123,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
300,12/31/2023 22:19,2023-00088062,226 CINDY AVE,Burglary,OK0140200
301,12/31/2023 22:19,2023-00088061,CLASSEN BLVD / OKLAHOMA AVE,Traffic Stop,OK0140200
302,12/31/2023 22:21,2023-00019452,909 ALAMEDA ST,Abdominal Pains/Problems,14005
303,12/31/2023 22:21,2023-00026124,909 ALAMEDA ST,Abdominal Pains/Problems,EMSSTAT
304,12/31/2023 22:24,2023-00019453,1351 HIGH MEADOWS DR,Medical Call Pd Requested,14005
305,12/31/2023 22:24,2023-00026125,1351 HIGH MEADOWS DR,Medical Call Pd Requested,EMSSTAT
306,12/31/2023 22:28,2023-00088063,513 24TH AVE NW,Disturbance/Domestic,OK0140200
307,12/31/2023 22:37,2023-00088070,1508 E LINDSEY ST,Noise Complaint,OK0140200
308,12/31/2023 22:45,2023-00088066,552 ED NOBLE PKWY,Alarm,OK0140200
309,12/31/2023 22:59,2023-00088073,2234 BRETFORD WAY,Fireworks,OK0140200
310,12/31/2023 23:00,2023-00088065,2809 DEVONSHIRE DR,Disturbance/Domestic,OK0140200
311,12/31/2023 23:04,2023-00088069,4201 24TH AVE NW,Runaway or Lost Child,OK0140200
312,12/31/2023 23:04,2023-00088067,2067 12TH AVE SE,Traffic Stop,OK0140200
313,12/31/2023 23:12,2023-00088071,4711 NORTHFIELDS LN,Noise Complaint,OK0140200
314,12/31/2023 23:25,2023-00088072,398 E GRAY ST,Traffic Stop,OK0140200
315,12/31/2023 23:30,2023-00088074,113 W GRAY ST,Trespassing,OK0140200
316,12/31/2023 23:31,2023-00019454,2902 GULLIVER ST,Hemorrhage/Lacerations,14005
317,12/31/2023 23:31,2023-00026126,2902 GULLIVER ST,Hemorrhage/Lacerations,EMSSTAT
318,12/31/2023 23:39,2023-00088075,2556 CLASSEN BLVD,Traffic Stop,OK0140200
319,12/31/2023 23:53,2023-00088076,W BOYD ST / S BERRY RD,Traffic Stop,OK0140200
320,12/31/2023 23:55,2023-00088077,1009 CLINGMANS DOME RD,Shots Heard,OK0140200
